PRODUCT_SALES_ORDER_ID,SALES_ORDER_ID,PRODUCT_ID,SALES
68097611,6460123,2438,390.0
68009163,6448262,1087,122.25
68097089,6460054,142,166.32
68060918,6455556,415,226.5
68144928,6466586,361,336.0
68136378,6465442,2778,117.0
68069368,6456788,417,168.0
68154758,6468034,1070,1675.5
68088765,6459127,9468,232.5
68071104,6457043,9468,155.0
68099889,6460377,9468,232.5
68030999,6451369,2778,469.0
68116148,6462500,415,226.75
68152455,6467709,9468,232.5
68152772,6467753,2438,375.25
68097735,6460141,3900,360.0
68088574,6459108,583,212.5
68147301,6466931,72,393.25
68148108,6467079,1070,202.5
68078418,6458005,8120,101.5
68064414,6456049,2438,97.5
68153781,6467897,168,55.25
68149811,6467349,9468,77.5
68151180,6467538,7558,353.75
68156620,6468291,415,453.0
68160824,6468866,7558,354.25
68088632,6456343,168,55.25
68142812,6466296,152,175.5
68118865,6462873,415,226.5
68058918,6455249,168,115.0
68165583,6469582,583,209.0
68123264,6463539,9468,232.5
68163112,6469208,142,166.32
68136314,6465435,9468,155.0
68131921,6464797,1070,405.0
68143510,6466396,9046,159.0
68131082,6464686,1070,81.0
68095234,6459840,415,226.5
68114502,6462319,9468,232.5
68161257,6468917,152,175.5
68167590,6469881,361,336.0
68097366,6460099,3900,360.0
68154204,6467945,168,55.25
68157731,6468446,415,226.5
68159152,6468631,9046,636.0
68169345,6470143,583,418.0
68168576,6470031,2778,1167.5
68120519,6463107,168,552.5
68206057,6475296,583,3135.0
68197742,6474247,9081,527.5
68250512,6481731,9289,331.0
68231504,6474021,9081,530.0
68258516,6482986,9046,159.0
68252361,6481994,583,1045.0
68214055,6476528,974,200.0
68213607,6476457,417,168.0
68209650,6475835,583,209.0
68174879,6470953,417,168.0
68270983,6484820,9081,319.5
68211571,6476125,583,418.0
68194214,6473679,2778,117.25
68195037,6473814,9468,155.0
68204591,6474953,974,283.5
68215043,6476678,9081,639.0
68191447,6473220,583,627.0
68205938,6475274,974,189.0
68256176,6482595,3900,1452.0
68231906,6479080,2778,115.75
68274548,6485334,9289,330.0
68274863,6485381,168,276.25
68277705,6485746,1087,124.25
68246170,6481144,583,209.0
68212073,6476214,2778,351.75
68207731,6473751,152,179.25
68168145,6469968,583,209.0
68272614,6485045,142,336.0
68221079,6477578,168,57.5
68232126,6479108,8120,101.0
68199167,6474445,7558,347.5
68200242,6474582,974,300.0
68194290,6473691,2778,350.25
68207037,6475441,583,209.0
68262162,6483550,2438,383.75
68265086,6483975,583,209.0
68268637,6484468,2778,233.5
68286452,6486989,168,55.25
68269512,6484602,9289,330.0
68269588,6484613,2778,466.0
68199422,6474475,2778,116.75
68241487,6480492,3900,363.0
68222127,6477719,583,418.0
68282264,6486389,9468,155.0
68267064,6481452,9081,266.25
68302519,6489232,417,168.0
68019393,6449794,9468,1007.5
68285840,6486904,7558,350.0
68301540,6489093,3900,363.0
68308923,6490150,583,209.0
68381854,6500121,9468,156.5
68319994,6490592,417,164.5
68359547,6497340,2438,129.0
68297612,6488270,583,1045.0
68298665,6488654,9468,77.5
68304405,6489525,3900,363.0
68304582,6489548,2438,378.0
68369718,6492943,2438,96.75
68399889,6502482,417,162.855
68361828,6497670,9468,158.5
68401107,6502635,583,209.0
68401739,6502721,583,209.0
68346892,6495428,142,164.5
68403511,6502958,583,209.0
68376773,6499522,2438,381.75
68351024,6496055,415,218.842
68373658,6492667,72,392.0
68372090,6499020,8120,310.5
68392422,6501381,72,392.0
68396041,6501919,2438,129.0
68346221,6495318,9081,213.0
68357830,6497092,1070,400.0
68398158,6502006,1080,119.25
68333060,6493483,9081,266.25
68408806,6503617,9289,328.25
68425851,6506182,974,100.0
68435705,6507592,2438,763.5
68436001,6507638,72,392.0
68359122,6497278,361,164.25
68387591,6500756,583,418.0
68437187,6507809,168,58.5
68437441,6507849,583,418.0
68340486,6494477,9468,157.0
68330293,6493073,8120,102.0
68417138,6504915,1070,2379.75
68311486,6490519,9468,157.0
68374770,6499310,415,221.5
68433646,6507294,2778,231.0
68418898,6505172,974,100.0
68391392,6501217,1070,40.0
68358660,6497218,2438,381.75
68397813,6502166,1070,240.0
68371903,6493839,974,1164.25
68380605,6499980,9468,78.25
68387823,6500785,2438,376.0
68350132,6495460,417,162.855
68444831,6509022,361,329.0
68329615,6492981,1080,238.5
68423195,6505799,9468,78.25
68396728,6502007,2778,115.5
68200036,6474555,7558,351.0
68278177,6483410,9289,330.0
68261409,6483428,9081,213.0
68220590,6477500,1070,200.0
68275732,6485481,168,110.5
68264089,6483831,583,209.0
68208615,6475680,417,168.0
68225701,6478232,361,504.0
68188399,6472790,583,209.0
68210269,6475927,583,209.0
68244446,6480905,2778,117.25
68286589,6487008,7558,357.5
68256353,6482626,9081,426.0
68279276,6485960,583,418.0
68294929,6488118,2438,383.75
68273768,6485217,1070,200.0
68229554,6477913,583,418.0
68231741,6479062,2438,374.75
68242048,6480566,1080,238.5
68236253,6477073,415,226.25
68293656,6487928,1070,200.0
68311418,6490513,9468,155.0
68372476,6492553,1087,120.75
68379560,6499855,2438,96.75
68369607,6498736,9081,1267.25
68374976,6499277,3900,350.0
68337173,6494027,6952,128.75
68300369,6488905,1080,357.75
68292354,6487758,7558,1400.0
68375675,6490546,417,164.5
68382681,6500227,583,209.0
68353488,6496415,2438,1145.25
68384036,6500379,3575,433.0
68380408,6499958,2778,115.5
68343190,6494846,9081,53.25
68406589,6503331,1080,119.25
68389876,6501011,9468,156.5
68391015,6501160,2438,1117.5
68392839,6492603,9289,328.25
68405378,6503167,9468,158.5
68395379,6501815,415,218.842
68395909,6501897,2438,381.75
68396338,6501959,168,58.5
68406037,6503257,974,100.0
68398551,6502279,2778,231.0
68329362,6492951,417,162.855
68365749,6498235,361,164.5
68385252,6500510,361,164.25
68356612,6496904,3900,377.5
68410368,6503849,3575,652.25
68347858,6495583,9081,213.0
68433985,6506116,9046,159.0
68411341,6504000,361,164.5
68365646,6498219,9289,328.25
68368347,6498580,2438,2672.25
68413179,6502888,9081,1267.25
68343070,6494836,2778,231.0
68443226,6508763,415,221.5
68351842,6496171,417,162.855
68414784,6504529,415,443.0
68411552,6504030,2778,231.0
68424154,6505936,583,209.0
68335920,6493850,2778,115.5
68437778,6507907,2438,1908.75
68429761,6506754,583,1045.0
68419779,6505318,9468,156.5
68341232,6494566,1070,600.0
68421228,6505525,583,418.0
68428049,6502178,9081,106.5
68346404,6495351,415,221.5
68406065,6503262,583,418.0
68409362,6503703,2778,346.5
68356176,6496843,2438,372.5
68408562,6503583,142,162.855
68406391,6503310,2778,115.5
68374596,6499295,9468,156.5
68381683,6500100,142,164.5
68395503,6501834,9081,2546.0
68406381,6503308,415,218.842
68406891,6503362,415,436.202
68436004,6506293,9046,159.0
68375569,6499396,9081,532.5
68443523,6508809,583,209.0
68389086,6500921,583,627.0
68357760,6497079,2438,96.75
68386948,6500691,8120,103.5
68375669,6490546,583,209.0
68410470,6503861,9081,426.0
68438566,6501455,9081,1267.25
68423923,6505901,168,117.0
68439399,6508139,361,164.5
68354466,6496565,72,780.5
68406104,6503269,2778,115.5
68438442,6507994,361,164.5
68357704,6497072,361,164.25
68402380,6502807,1080,119.25
68421661,6505585,417,164.5
68416939,6504884,142,164.5
68397671,6502140,9081,426.0
68436552,6507718,1080,698.75
68330597,6493113,2778,346.5
68035735,6451987,3900,723.0
68379742,6499878,9468,156.5
68404028,6503027,9468,156.5
68339403,6494335,9468,78.5
68399322,6502402,9289,328.25
68357608,6497060,1070,120.0
68413533,6504334,415,218.842
68419200,6505223,2778,346.5
68354084,6496509,2778,115.5
68393463,6501550,974,100.0
68399589,6502439,415,218.842
68388878,6500894,9289,328.25
67859014,6426358,6952,125.75
67957642,6440879,2438,1125.0
67947220,6439313,9046,636.0
68066966,6456420,2438,1539.0
68123083,6463508,168,110.5
68118379,6462802,8120,101.5
68000608,6447093,9081,1169.0
68057501,6455024,1087,122.5
68048707,6453841,9468,77.5
68118603,6462835,1070,162.0
68066493,6453596,583,212.5
68067532,6456506,2778,117.0
68126423,6464012,2438,384.75
68115087,6462368,9468,232.5
68098700,6460252,1070,121.5
68093891,6459702,1087,247.5
68039127,6452430,2778,117.25
68058682,6455207,9081,212.0
68076846,6457835,2778,468.0
68091562,6459442,8120,416.0
68126362,6464003,168,165.75
68121473,6463247,2438,384.75
68087527,6452527,8120,304.5
68083524,6458584,2778,468.0
68070614,6456975,9468,78.5
68026240,6450728,2438,1142.25
68069432,6456793,142,168.0
68076820,6457832,1765,708.0
68055817,6454758,361,166.32
68061719,6455671,152,351.0
68132458,6464877,142,332.64
68072751,6457286,583,425.0
68053242,6454373,583,432.5
68137218,6465569,168,55.25
68095553,6436487,168,110.5
68095258,6459843,1070,243.0
68047780,6453714,72,388.5
68137460,6465602,2438,384.75
68133883,6454454,9081,545.0
68047800,6453718,2778,117.75
68139059,6465799,361,168.0
68077270,6457886,2778,234.0
68096650,6460016,583,850.0
68056716,6454863,974,300.0
68058267,6455139,2438,192.0
68080858,6458298,2438,769.5
68010695,6448502,1070,162.0
68130984,6464674,361,168.0
68078617,6458029,9468,232.5
68075204,6457613,2778,117.25
68055454,6454701,2778,233.5
68137500,6465610,2438,769.5
68048053,6453755,9468,77.5
68085776,6458817,168,55.25
68099254,6460315,2778,117.5
68096236,6459951,583,212.5
68144386,6465485,9046,159.0
68080517,6457751,168,55.25
67936766,6437795,2778,233.5
67985518,6444961,974,200.0
67988424,6445376,417,336.0
67865442,6427243,152,334.5
67933713,6437333,1080,357.0
67985922,6445016,974,567.0
67986407,6445078,2778,1172.5
67919972,6435176,583,215.0
67985797,6444996,9081,5868.75
67988847,6445426,2778,117.25
67967703,6442331,142,168.0
67997528,6446678,1087,123.0
67929907,6436755,2438,397.0
67942144,6438561,361,168.0
67938777,6438092,1080,119.0
67989999,6445563,1222,292.25
67924423,6435934,2438,33.5
67589711,6387715,2438,168.75
67579021,6386163,1070,79.0
67591469,6387948,9468,149.0
67592060,6388071,9468,149.0
67595775,6388621,1080,692.0
67598560,6389018,2778,118.25
67599934,6389217,152,653.0
67600972,6389364,417,522.75
67601299,6389408,2778,113.25
67602361,6383776,3900,371.75
67603068,6389659,583,211.25
67602492,6389566,9081,1179.75
67604183,6389815,583,211.25
67605646,6390066,2438,401.75
67606023,6390128,168,1140.25
67606113,6390095,9468,74.5
67609497,6390666,2778,226.5
67608354,6390496,2778,792.75
67610357,6390795,9468,149.0
67610388,6390802,9468,74.5
67610331,6390792,417,171.0
67610793,6390870,415,224.5
67612999,6391229,2438,381.0
67613180,6391262,9468,149.0
67613402,6391289,2438,762.0
67590069,6387766,974,775.5
67616852,6391780,168,287.5
67617829,6391934,583,844.0
67618080,6391966,152,163.25
67559864,6383475,9468,223.5
67565419,6384214,583,1058.75
67589309,6387651,417,175.0
67622096,6392531,9468,298.0
67622181,6392545,3900,371.75
67622273,6392559,7558,356.75
67622940,6392651,142,171.0
67624771,6392929,361,171.0
67625276,6393012,142,174.25
67628676,6393564,142,171.0
67628918,6393604,2438,32.25
67629428,6393691,1222,294.75
67629670,6393729,361,171.0
67630038,6393791,2438,762.0
67630376,6393847,583,211.0
67632132,6394140,2438,161.25
67634250,6394469,2778,354.0
67639361,6395169,9081,1173.75
67639422,6395269,583,1056.25
67644137,6395982,361,171.0
67599124,6389115,168,115.0
67646089,6396275,1080,700.25
67652249,6391237,168,57.5
67655602,6397719,2438,381.0
67655854,6397764,142,171.0
67656289,6397829,2778,121.75
67656596,6397880,1070,205.0
67658947,6398270,9081,1173.75
67660129,6398455,2438,32.5
67662045,6398748,7558,355.0
67616645,6391748,2438,401.75
67666120,6399368,9081,495.0
67621879,6392496,2438,384.75
67669697,6399926,583,633.0
67663088,6398906,583,212.25
67685756,6402312,2778,563.75
67633844,6394403,3900,1858.75
67697033,6404000,583,424.0
67610787,6390870,9468,149.0
67642013,6395668,2778,243.5
67710699,6406048,583,211.75
67719758,6407215,2438,129.0
67721791,6407499,8120,103.5
67723593,6407082,142,168.0
67618937,6392081,583,1056.25
67581531,6386532,415,230.0
67622589,6392606,7558,347.5
67626812,6393256,2778,476.0
67598822,6389060,168,57.5
67636706,6394844,2438,32.5
67641049,6395532,9081,495.0
67641748,6395632,361,171.0
67559845,6383472,142,174.75
67647062,6396426,583,210.75
67588863,6387588,2778,1182.5
67561685,6383743,415,229.0
67580353,6386359,9468,372.5
67609609,6390683,9468,74.5
67658253,6398164,168,57.5
67660341,6398491,583,212.25
67663970,6399052,2438,386.75
67615445,6391578,9081,49.5
67649922,6396877,2438,65.0
67667531,6399591,9468,149.0
67649059,6396745,974,201.5
67632249,6394157,417,171.0
67625572,6393056,1070,592.5
67669599,6399908,2438,386.75
67672758,6400409,583,210.75
67673509,6400518,152,324.5
67674690,6400690,168,57.5
67676546,6389915,152,653.0
67677517,6401141,168,115.0
67649250,6396777,2438,127.0
67678096,6401223,583,1058.75
67678683,6401307,9289,336.5
67681021,6394774,2438,32.5
67685328,6402257,6952,375.0
67642630,6395745,415,230.75
67644100,6395978,2778,223.5
67690081,6402986,168,57.5
67690826,6403089,152,324.5
67691387,6403162,9468,73.0
67691351,6401021,9046,159.0
67694809,6403695,583,212.0
67695251,6403757,2438,382.75
67668759,6399785,2778,335.25
67699193,6404294,417,336.0
67704356,6404998,8120,100.0
67706135,6405175,9468,146.0
67706832,6405453,7558,358.0
67708729,6405771,152,341.5
67710017,6405954,2438,765.5
67710833,6406067,9289,673.0
67711563,6406168,415,226.75
67713453,6406437,2778,116.5
67715124,6406661,9468,146.0
67665174,6399232,2778,335.25
67718853,6407120,417,168.0
67719361,6407179,2438,32.25
67720488,6407325,2778,233.5
67720650,6407341,9468,365.0
67721721,6407491,2438,127.0
67721951,6407521,1080,237.0
67704136,6404963,2778,467.0
67626909,6393276,361,171.0
67723270,6407712,2778,572.5
67726743,6408197,3575,219.5
67724541,6407892,2438,381.0
67730952,6408743,7558,358.0
67731060,6408828,583,640.5
67732750,6409091,1070,121.5
67733109,6409140,1087,1848.75
67733228,6409155,415,227.25
67734520,6409351,152,683.0
67736443,6409651,2778,115.0
67737419,6409795,2438,260.0
67589845,6387734,1070,786.75
67599701,6389189,2438,381.0
67667436,6399554,2778,121.75
67676907,6401037,142,168.0
67677515,6398066,9081,1173.75
67626563,6393215,2778,236.0
67683798,6393464,9046,157.25
67685720,6402306,9081,3521.25
67647960,6396558,8120,100.0
67687493,6402573,152,163.25
67647710,6396525,9081,495.0
67698473,6404194,2438,64.5
67699199,6404294,142,336.0
67708075,6405664,2438,193.5
67708316,6405705,9468,73.0
67711066,6406098,168,115.0
67711176,6406115,583,211.75
67721210,6407428,415,454.0
67687007,6402500,583,212.5
67725147,6407968,3900,367.0
67685038,6402219,2778,233.5
67729536,6408652,9468,596.0
67731469,6408896,3900,367.0
67731937,6408965,2438,385.5
67736387,6409643,2438,195.0
67734124,6409288,8120,100.0
67723193,6407698,583,213.75
67694558,6403660,361,168.0
67706697,6405423,8120,310.5
67738943,6410027,2438,385.5
