ORDER_ID,DATE,DAY_NAME,Order_status,SALES
6387833,2023-10-01,Sun,Delivered,285.5
6385549,2023-10-01,Sun,Delivered,1512.25
6387475,2023-10-01,Sun,Delivered,197.5
6389331,2023-10-01,Sun,Delivered,67.5
6390122,2023-10-01,Sun,Delivered,118.0
6389547,2023-10-01,Sun,Delivered,846.0
6388097,2023-10-01,Sun,Delivered,457.0
6384313,2023-10-01,Sun,Delivered,1031.0
6387556,2023-10-01,Sun,Delivered,485.0
6390330,2023-10-01,Sun,Delivered,223.5
6383901,2023-10-01,Sun,Delivered,344.0
6383517,2023-10-01,Sun,Delivered,78.5
6390518,2023-10-01,Sun,Delivered,326.5
6390647,2023-10-01,Sun,Delivered,382.75
6390390,2023-10-01,Sun,Delivered,224.5
6383674,2023-10-01,Sun,Delivered,350.0
6386532,2023-10-01,Sun,Delivered,230.0
6390733,2023-10-01,Sun,Delivered,120.75
6383252,2023-10-01,Sun,Canceled,149.0
6384088,2023-10-01,Sun,Delivered,74.5
6388302,2023-10-01,Sun,Delivered,1620.0
6386866,2023-10-01,Sun,Canceled,114.25
6387527,2023-10-01,Sun,Delivered,114.25
6386121,2023-10-01,Sun,Delivered,342.75
6386559,2023-10-01,Sun,Delivered,342.75
6389095,2023-10-01,Sun,Delivered,375.5
6389825,2023-10-01,Sun,Canceled,198.0
6384729,2023-10-01,Sun,Delivered,293.5
6384334,2023-10-01,Sun,Delivered,587.0
6383668,2023-10-01,Sun,Delivered,
6390635,2023-10-01,Sun,Delivered,211.0
6389645,2023-10-01,Sun,Delivered,338.5
6383999,2023-10-01,Sun,Delivered,786.75
6385126,2023-10-01,Sun,Delivered,594.0
6390097,2023-10-01,Sun,Delivered,163.25
6388701,2023-10-01,Sun,Delivered,149.0
6390992,2023-10-01,Sun,Delivered,384.75
6385269,2023-10-01,Sun,Delivered,1089.0
6390220,2023-10-01,Sun,Delivered,633.75
6387517,2023-10-01,Sun,Delivered,113.5
6383950,2023-10-01,Sun,Delivered,226.5
6390163,2023-10-01,Sun,Canceled,3062.0
6383639,2023-10-01,Sun,Delivered,477.0
6389575,2023-10-01,Sun,Delivered,226.5
6385575,2023-10-01,Sun,Delivered,211.0
6387710,2023-10-01,Sun,Delivered,560.0
6389539,2023-10-01,Sun,Canceled,338.5
6390997,2023-10-01,Sun,Delivered,385.5
6390383,2023-10-01,Sun,Canceled,2679.25
6389031,2023-10-01,Sun,Delivered,372.5
6388306,2023-10-01,Sun,Delivered,799.75
6390638,2023-10-01,Sun,Delivered,281.5
6385738,2023-10-01,Sun,Delivered,372.5
6386855,2023-10-01,Sun,Delivered,400.0
6385579,2023-10-01,Sun,Delivered,406.5
6387621,2023-10-01,Sun,Delivered,103.5
6384681,2023-10-01,Sun,Delivered,196.25
6383630,2023-10-01,Sun,Delivered,2347.5
6387850,2023-10-01,Sun,Delivered,228.5
6388051,2023-10-01,Sun,Delivered,115.0
6384399,2023-10-01,Sun,Canceled,745.0
6390543,2023-10-01,Sun,Delivered,74.5
6389162,2023-10-01,Sun,Delivered,449.0
6383780,2023-10-01,Sun,Delivered,211.5
6385715,2023-10-01,Sun,Delivered,211.0
6386682,2023-10-01,Sun,Delivered,100.0
6384624,2023-10-01,Sun,Delivered,101.25
6388553,2023-10-01,Sun,Delivered,211.0
6386745,2023-10-01,Sun,Delivered,401.75
6389611,2023-10-01,Sun,Delivered,57.5
6384439,2023-10-01,Sun,Delivered,211.75
6384249,2023-10-01,Sun,Canceled,381.0
6385552,2023-10-01,Sun,Delivered,636.0
6383787,2023-10-01,Sun,Delivered,228.5
6389894,2023-10-01,Sun,Delivered,1113.0
6390305,2023-10-01,Sun,Delivered,223.5
6386844,2023-10-01,Sun,Delivered,1055.0
6388242,2023-10-01,Sun,Delivered,135.0
6383457,2023-10-01,Sun,Delivered,170.0
6387957,2023-10-01,Sun,Delivered,230.0
6387668,2023-10-01,Sun,Delivered,350.0
6389244,2023-10-01,Sun,Delivered,159.0
6390639,2023-10-01,Sun,Delivered,382.75
6387157,2023-10-01,Sun,Delivered,591.25
6386395,2023-10-01,Sun,Delivered,362.25
6390683,2023-10-01,Sun,Delivered,74.5
6388633,2023-10-01,Sun,Delivered,422.0
6388407,2023-10-01,Sun,Delivered,395.0
6390871,2023-10-01,Sun,Delivered,571.25
6389661,2023-10-01,Sun,Delivered,174.25
6387991,2023-10-01,Sun,Delivered,118.25
6390207,2023-10-01,Sun,Delivered,80.0
6387529,2023-10-01,Sun,Delivered,202.5
6386557,2023-10-01,Sun,Delivered,114.25
6383283,2023-10-01,Sun,Delivered,149.0
6390171,2023-10-01,Sun,Canceled,100.0
6385510,2023-10-01,Sun,Delivered,101.25
6384653,2023-10-01,Sun,Delivered,111.75
6383647,2023-10-01,Sun,Delivered,57.5
6385555,2023-10-01,Sun,Delivered,625.25
6386327,2023-10-01,Sun,Delivered,401.75
6388863,2023-10-01,Sun,Delivered,236.5
6384980,2023-10-01,Sun,Delivered,211.75
6384348,2023-10-01,Sun,Delivered,159.0
6384278,2023-10-01,Sun,Delivered,1173.75
6390844,2023-10-01,Sun,Delivered,354.75
6390000,2023-10-01,Sun,Delivered,2679.25
